id,adresse,cp,ville,pop
1000001,596 AVENUE DE TREVOUX,01000,SAINT-DENIS-LèS-BOURG,R
1000002,16 Avenue de Marboz,01000,BOURG-EN-BRESSE,R
1000004,20 Avenue du Maréchal Juin,01000,Bourg-en-Bresse,R
1000005,642 Avenue de Trévoux,01000,SAINT-DENIS-LèS-BOURG,R
1000006,1 Boulevard John Kennedy,01000,BOURG-EN-BRESSE,R
1000007,360 AVENUE DU CAPITAINE DHONNE,01000,Bourg-en-Bresse,R
1000008,Bd Charles de Gaulle,01000,BOURG-EN-BRESSE,R
1000009,56 Rue du Stand,01000,Bourg-en-Bresse,R
1000010,Boulevard Charles de Gaulle,01000,BOURG-EN-BRESSE,R
1000012,"642, AVENUE DE TREVOUX",01000,ST DENIS LES BOURG,R
1000013,BOULEVARD CHARLES DE GAULLE,01000,BOURG EN BRESSE,R
1090001,LE GRAND RIVOLET,01090,MONTCEAUX,R
1100001,ROUTE DE DORTAN,01100,Arbent,R
1100002,Rue Brillat-Savarin,01100,OYONNAX,R
1100003,174 Cours de Verdun,01100,Oyonnax,R
1100004,886 AVENUE JEAN COUTTY,01100,ARBENT - OYONNAX,R
1100006,74 Rue Jules Michelet,01100,Oyonnax,R
1100007,174 COURS DE VERDUN,01100,OYONNAX,R
1110001,Rue Massonod,01110,HAUTEVILLE-LOMPNES,R
1120002,AUTOROUTE A 42,01120,DAGNEUX,A
1120003,AUTOROUTE A 42 AIRE DE DAGNEUX,01120,Montluel,A
1120004,Cours de la Portelle,01120,MONTLUEL,R
1120005, Route de Thil,01120,LA BOISSE,R
1120006,521 ROUTE NATIONALE,01120,La Boisse,R
1120007,"AUTOROUTE A42, AIRE DE LYON-DAGNEUX",01120,DAGNEUX,A
1120008,AUTOROUTE A42 - AIRE DE LYON MONTUEL,01120,DAGNEUX,A
1130001,ROUTE DE LA CLUSE,01130,Nantua,R
1130002,Moulin de Charix,01130,LALLEYRIAT,R
1130003,RTE DE LA CLUSE RN 84,01130,NANTUA,R
1140001,Chemin des Huguets,01140,Saint-Didier-sur-Chalaronne,R
1150001,8 RUE DE L'INDUSTRIE,01150,LAGNIEU,R
1150002, Avenue Charles de Gaulle,01150,SAINT-VULBAS,R
1160001,Route de bourg,01160,PONT-D'AIN,R
1160002,Le Pont Rompu - RD 1084,01160,PONT-D'AIN,R
1160003,Rue du Docteur Hubert,01160,NEUVILLE-SUR-AIN,R
1160005,RTE DE BOURG RN 75,01160,PONT D'AIN,R
1170001,RN5,01170,SéGNY,R
1170002,Lieu-Dit les Vertes Campagnes,01170,GEX,R
1170003,Route de Divonne les Bains,01170,Gex,R
1170005, Avenue des Tilleuls,01170,GEX,R
1190001,PAE Pont de Vaux Est,01190,SAINT BéNIGNE,R
1200001,69 Rue de la République,01200,Bellegarde-sur-Valserine,R
1200003,Avenue Maréchal de Lattre de Tassigny,01200,Bellegarde-sur-Valserine,R
1200004,79 RUE DE LA REPUBLIQUE,01200,BELLEGARDE,R
1210001, Chemin de la Brunette,01210,FERNEY-VOLTAIRE,R
1210002,ROUTE DE GENEVE,01210,FERNEY-VOLTAIRE,R
1210003,Route de Meyrin,01210,FERNEY-VOLTAIRE,R
1220001,691 AVENUE DU CRET D'EAU,01220,Divonne-les-Bains,R
1230002,38 AVENUE DE L EUROPE,01230,SAINT-RAMBERT-EN-BUGEY,R
1230003,RD 1504,01230,Torcieu,R
1240001,LE BOURG,01240,DOMPIERRE-SUR-VEYLE,R
1250001,A 40 - AIRE DE BOURG JASSERON,01250,Jasseron,A
1250002,AIRE DE BOURG TEYSONGUE A 40,01250,Ceyzériat,A
1250004,route de la Vavrette,01250,TOSSIAT,R
1250005,AUTOROUTE A40 - AIRE DE BOURG JASSERON,01250,CEYZERIAT,A
1270002, Grande Rue,01270,COLIGNY,R
1290001,Route de Chatillon Sur Chalaronne,01290,LAIZ,R
1300001,Boulevard de Verdun,01300,Belley,R
1300002, Rue Mante,01300,BELLEY,R
1300003,RN 504 - ZI de Penaye ,01300,Chazey-Bons,R
1310001,1123 Route de Mâcon,01310,POLLIAT,R
1310003,Lieu-dit Logis-Neuf,01310,Confrançon,R
1320001,Grande Rue,01320,CHALAMONT,R
1320002,Chemin du Petit Étang,01320,Chalamont,R
1330001,"245, Route du 3 Septembre 1944",01330,Ambérieux-en-Dombes,R
1330002,zac de la tuilerie,01330,VILLARS-LES-DOMBES,R
1340001,Rue des Luyers,01340,MONTREVEL-EN-BRESSE,R
1340002,RN.75,01340,Malafretaz,R
1340003,Les Cézilles,01340,Jayat,R
1340004,771 Route de Bourg,01340,ATTIGNAT,R
1350001, Avenue Jean Falconnier,01350,CULOZ,R
1350003,PARC D'ACTIVITE DES FOURS,01350,Béon,R
1360002, Route de Lyon,01360,BALAN,R
1370001, Route de Strasbourg,01370,SAINT-ÉTIENNE-DU-BOIS,R
1390001,Allées des Marronniers,01390,Saint-André-de-Corcy,R
1390002,Z.I. DE CURE,01390,Saint-André-de-Corcy,R
1390004,AIRE DE MIONNAY OUEST GALMIER A46,01390,MIONNAY,A
1390006,Aire de Mionnay Est Chatanay,01390,Mionnay,A
1390007,AIRE DE MIONNAY EST CHATANAY AUTOROUTE A 46,01390,MIONNAY,A
1390008,AIRE DE MIONNAY OUEST SAINT GALMIER,01390,MIONNAY,A
1400001,AVENUE MARECHAL FOCH,01400,CHATILLON-SUR-CHALARONNE,R
1400003,AVENUE PIERRE MARCAULT,01400,CHATILLON SUR CHALARONNE,R
1400005,Avenue Jean Jaurès,01400,CHATILLON SUR CHALARONNE,R
1430001,AUTOROUTE A 40 - SENS PARIS PROV,01430,CEIGNES,A
1430003,AIRE DE CEIGNES HAUT BUGEY,01430,CEIGNES,A
1430004,Chemin de l'Égalité,01430,Maillat,R
1430005,AUTOROUTE A40 - AIRE DE CEIGNES CERDON,01430,CEIGNES,A
1440001,1029 ROUTE DE MARBOZ-LOUHANS,01440,VIRIAT,R
1440002, Route de Strasbourg,01440,VIRIAT,R
1440003,261 Route de Paris,01440,Viriat,R
1460001,68 Rue du Jura,01460,MONTREAL-LA-CLUSE,R
1460002,Route de Berthiand,01460,Nurieux-Volognat,R
1460003,Rue de l'industrie ,01460,Port,R
1470001,LES GRANGES DE MONTAGNIEU,01470,Montagnieu,R
1470002, Rue des Verchères,01470,BRIORD,R
1480001, Rue Édouard Herriot,01480,JASSANS-RIOTTIER,R
1500001,Rue Alexandre Bérard,01500,Ambérieu-en-Bugey,R
1500003,"550, Avenue Jean Mermoz",01500,CHâTEAU-GAILLARD,R
1500004,15 Avenue de la Libération,01500,AMBéRIEU-EN-BUGEY,R
1500006,"550, RUE JEAN MERMOZ",01500,CHâTEAU-GAILLARD,R
1500007,CENTRE COMMERCIAL DE L'AVIATIONRAIS,01500,Ambérieu-en-Bugey,R
1510001,1 RUE DES CHAMPS,01510,ARTEMARE,R
1510002,Chef Lieu,01510,Virieu-le-Grand,R
1510003,"1 rue des champs ""les terrasses""",01510,Artemare,R
1540001,Route de Neuville,01540,VONNAS,R
1540002,za les grands varays rte de neuville,01540,Vonnas,R
1560000,Route de Pont-de-Vaux,01560,Saint-Trivier-de-Courtes,R
1570001, Grande Rue,01570,FEILLENS,R
1590001,Rue du 21 Juillet 1944,01590,DORTAN,R
1590002,ZAC sous la Combe,01590,LAVANCIA-EPERCY,R
1600001,Rue du Figuier,01700,MIRIBEL,R
1600002,324 Route de Lyon,01600,TREVOUX,R
1600003,Avenue Lavoisier,01600,MASSIEUX,R
1630001,RUE DE GENEVE -,01630,SAINT-GENIS-POUILLY,R
1630003,148 Rue des Chalets,01630,SAINT-GENIS-POUILLY,R
1630004,ZA DU PRE MUNNY,01630,PéRON,R
1640001,573 route de Genève,01640,Saint-Jean-le-Vieux,R
1700003,RN 83,01700,Miribel,R
1700004,ZAC des Beterses,01700,BEYNOST,R
1710001,route de Bellegarde,01710,THOIRY,R
1750001,223 route de Bourg-en-Bresse,01750,Replonges,R
1800001,47 Route de Lyon,01800,MEXIMIEUX,R
1800002,11 route de Port-Galland,01800,Saint-Maurice-de-Gourdans,R
1800003,ROUTE DE CHALAMONT,01800,Meximieux,R
1960001,Chemin de Bellevue,01960,PERONNAS,R
1960003,148 Avenue de Lyon,01960,PéRONNAS,R
1960004,148 Avenue de Lyon,01960,PéRONNAS,R
1980001,63 Rue du Bugey,01360,LOYETTES,R
2000002,ZAC ILE DE FRANCE,02000,LAON,R
2000003,16 RUE FERNAND CHRIST,02000,LAON,R
2000004,44 Avenue Charles de Gaulle,02000,Laon,R
2000005,97 Avenue Charles de Gaulle,02000,Laon,R
2000007,16 Boulevard Pierre Brossolette,02000,Laon,R
2000008,rue Jean Jaures,02000,CHAMBRY,R
2000009,167 Avenue Pierre Mendès France,02000,Laon,R
2000010,RUE DU DR MENU,02000,Laon,R
2100001,Route d'AMIENS,02100,SAINT-QUENTIN,R
2100003,51 Avenue du Général de Gaulle,02100,SAINT-QUENTIN,R
2100006,Boulevard Camille Guérin,02100,SAINT-QUENTIN,R
2100008,46 Avenue Faidherbe,02100,Saint-Quentin,R
2100009,Route de Guise,02100,HARLY,R
2100011,98 rue Alexandre Dumas,02100,SAINT-QUENTIN,R
2100012,Route de BOHAIN,02100,Saint-Quentin,R
2100013,Rue Antoine Parmentier,02100,SAINT-QUENTIN,R
2100014,60 BIS RUE DE LA FERE,02100,SAINT QUENTIN,R
2100017,Rue de la Fère,02100,Saint-Quentin,R
2100018,25 Boulevard Victor Hugo,02100,SAINT-QUENTIN,R
2100019,153 Rue de Mulhouse,02100,SAINT-QUENTIN,R
2100020,BLD CAMILLE GUERIN,02100,SAINT QUENTIN,R
2110001,Rue Olivier Deguise,02110,BOHAIN-EN-VERMANDOIS,R
2110002,22 rue de Vaux,02110,BOHAIN-EN-VERMANDOIS,R
2110003,ROUTE DE SAINT QUENTIN,02110,BOHAIN-EN-VERMANDOIS,R
2120002,56 place du Jeu de Paume,02120,GUISE,R
2120003,RUE SADI CARNOT,02120,GUISE,R
2120004, Rue des Docteurs Devillers,02120,GUISE,R
2120005,"56, rue du jeu de Paume",02120,Guise,R
2130001,Rue du Stade,02130,FèRE-EN-TARDENOIS,R
2130003,Aire de Tardenois - A4,02130,Fresnes-en-Tardenois,A
2130004, Avenue de la Gare,02130,FèRE-EN-TARDENOIS,R
2130005,autoroute A4 aire de tardenois sud,02130,FRESNES EN TARDENOIS,A
2130006,Autoroute de l'Est,02130,Fresnes-en-Tardenois,A
2140002, Place Sohier,02140,Vervins,R
2140003,ZI de la Briquetterie,02140,Vervins,R
2140004,"73, Hameau Chaussée de Fontaine - RN2",02140,FONTAINE-LèS-VERVINS,R
2170001,RUE DES VERRIERS,02170,LE NOUVION-EN-THIéRACHE,R
2190001,3 RUE PIERRE CURTIL,02190,Guignicourt,R
2190002,AUT A 26- AIRE DU MONT NIZY,02190,JUVINCOURT-ET-DAMARY,A
2190003,A26 - Aire du Champ Roland,02190,Guignicourt,A
2190004,3 Rue Pierre Curtil,02190,GUIGNICOURT,R
2190005,AUT A 26- AIRE DU MONT NIZY,02190,Juvincourt-et-Damary,A
2200001,3 Avenue Raymonde Fiolet,02200,Soissons,R
2200002,9 Rue de Villeneuve,02200,SOISSONS,R
2200004,ROUTE DE REIMS,02200,BILLY-SUR-AISNE,R
2200005,50 Avenue de Château-Thierry,02200,Soissons,R
2200006,AVENUE DE COMPIEGNE,02200,MERCIN-ET-VAUX,R
2200007,1 Place de Laon,02200,Soissons,R
2200008,183 ROUTE DE PARIS ,02200,Vauxbuin,R
2200010,43 Avenue de Château-Thierry,02200,Belleu,R
2200011,Avenue de Compiègne,02200,MERCIN-ET-VAUX,R
2200012,Rue d'Acy,02200,Venizel,R
2200013,AV.DE COMPIEGNE - RN.31,02200,MERCIN ET VAUX,R
2200014,50 BIS ROUTE DE CHATEAU THIERRY,02200,SOISSONS,R
2200015,9 ET 11 RUE DE VILLENEUVE,02200,SOISSONS,R
2210001, Avenue de la Gare,02210,OULCHY-LE-CHâTEAU,R
2220001,34 BD DE MONTPELLIER,02220,BRAINE,R
2230001,1000 rue jean jaures,02230,FRESNOY LE GRAND,R
2240001,74 Rue Blondel,02240,RIBEMONT,R
2240002,73 chaussee de fontaine,02140,fontaine les vervins,R
2250001,Rue Saint Nicolas,02250,MARLE,R
2250002,Route de Thiernu,02250,Marle,R
2250003,24 AVENUE CARNOT,02250,Marle,R
2260001,rue de l'armistice,02260,LA CAPELLE,R
2280001,"CD 24, route de liesse",02820,SAINT-ERME-OUTRE-ET-RAMECOURT,R
2290001,9 AVENUE DE LA GARE,02290,RESSONS-LE-LONG,R
2300001,RD 338,02300,Viry-Noureuil,R
2300002,CHEMIN DEPARTEMENTAL 937,02300,AUTREVILLE,R
2300003,108 Rue Pasteur,02300,Chauny,R
2300005,9 Rue Anatole France,02300,Chauny,R
2300006,Boulevard de l'Europe,02300,Chauny,R
2300008,24 RUE DU POINT DU JOUR,02300,Blérancourt,R
2310001,route de pavant,02310,CHARLY,R
2310002,47 Rue Jules Lefèbvre,02130,Fère-en-Tardenois,R
2320001,34 bis Rue du 7 ème Bca,02320,PINON,R
2320002,Rue de Coucy,02320,ANIZY-LE-CHâTEAU,R
2340001,14 ROUTE DE MONTCORNET,02340,LISLET,R
2360001,Lieu dit du grand hôtel,02360,Rozoy-sur-Serre,R
2370003,Avenue Jean Jaurès,02370,Vailly-sur-Aisne,R
2380001,Le Pré Montré,02380,CRECY-AU-MONT,R
2380002,D1 - LIEU DIT LE PRE MONTRE,02380,CRECY AU MONT,R
2390002, Rue du Thil,02390,ORIGNY-SAINTE-BENOITE,R
2400001,37 Avenue d'Essômes,02400,CHâTEAU-THIERRY,R
2400002,Avenue du Général de Gaulle,02400,Essômes-sur-Marne,R
2400004,Rue de la Plaine,02400,CHâTEAU-THIERRY,R
2400005,22 Avenue de l'Europe,02400,Château-Thierry,R
2400007,ZC LA MOISERIE ROUTE DE SOISSONS,02400,Château-Thierry,R
2400008,13 Avenue Jules Lefèbvre,02400,Château-Thierry,R
2420001,39 Rue de Picardie,02420,Bellicourt,R
